"","year_month","days_below_zero"
"1",1990-01-01,27
"2",1990-02-01,10
"3",1990-03-01,13
"4",1990-12-01,29
"5",1991-01-01,26
"6",1991-02-01,23
"7",1991-03-01,6
"8",1991-12-01,26
"9",1992-01-01,31
"10",1992-02-01,23
"11",1992-03-01,17
"12",1992-12-01,27
"13",1993-01-01,20
"14",1993-02-01,28
"15",1993-03-01,22
"16",1993-12-01,21
"17",1994-01-01,22
"18",1994-02-01,22
"19",1994-03-01,5
"20",1994-12-01,24
"21",1995-01-01,27
"22",1995-02-01,17
"23",1995-03-01,25
"24",1995-12-01,24
"25",1996-01-01,25
"26",1996-02-01,29
"27",1996-03-01,21
"28",1996-12-01,25
"29",1997-01-01,28
"30",1997-02-01,20
"31",1997-03-01,14
"32",1997-12-01,21
"33",1998-01-01,24
"34",1998-02-01,19
"35",1998-03-01,20
"36",1998-12-01,27
"37",1999-01-01,25
"38",1999-02-01,25
"39",1999-03-01,20
"40",1999-12-01,26
"41",2000-01-01,30
"42",2000-02-01,19
"43",2000-03-01,19
"44",2000-12-01,16
"45",2001-01-01,26
"46",2001-02-01,20
"47",2001-03-01,8
"48",2001-12-01,24
"49",2002-01-01,24
"50",2002-02-01,14
"51",2002-03-01,17
"52",2002-12-01,19
"53",2003-01-01,27
"54",2003-02-01,27
"55",2003-03-01,18
"56",2003-12-01,24
"57",2004-01-01,26
"58",2004-02-01,24
"59",2004-03-01,20
"60",2004-12-01,31
"61",2005-01-01,29
"62",2005-02-01,27
"63",2005-03-01,15
"64",2005-12-01,29
"65",2006-01-01,29
"66",2006-02-01,26
"67",2006-03-01,20
"68",2006-12-01,24
"69",2007-01-01,16
"70",2007-02-01,19
"71",2007-03-01,23
"72",2007-12-01,27
"73",2008-01-01,22
"74",2008-02-01,20
"75",2008-03-01,18
"76",2008-12-01,26
"77",2009-01-01,31
"78",2009-02-01,27
"79",2009-03-01,25
"80",2009-12-01,23
"81",2010-01-01,31
"82",2010-02-01,26
"83",2010-03-01,18
"84",2010-12-01,27
"85",2011-01-01,23
"86",2011-02-01,24
"87",2011-03-01,15
"88",2011-12-01,21
"89",2012-01-01,26
"90",2012-02-01,26
"91",2012-03-01,11
"92",2012-12-01,23
"93",2013-01-01,27
"94",2013-02-01,26
"95",2013-03-01,24
"96",2013-12-01,23
"97",2014-01-01,22
"98",2014-02-01,26
"99",2014-03-01,18
"100",2014-12-01,22
"101",2015-01-01,26
"102",2015-02-01,28
"103",2015-03-01,15
"104",2015-12-01,11
"105",2016-01-01,19
"106",2016-02-01,20
"107",2016-03-01,26
"108",2016-12-01,26
"109",2017-01-01,30
"110",2017-02-01,19
"111",2017-03-01,8
"112",2017-12-01,28
"113",2018-01-01,18
"114",2018-02-01,26
"115",2018-03-01,21
"116",2018-12-01,21
"117",2019-01-01,30
"118",2019-02-01,23
"119",2019-03-01,14
"120",2019-12-01,15
"121",2020-01-01,27
"122",2020-02-01,15
"123",2020-03-01,15
"124",2020-12-01,26
"125",2021-01-01,26
"126",2021-02-01,12
"127",2021-03-01,20
"128",2021-12-01,24
"129",2022-01-01,27
"130",2022-02-01,22
"131",2022-03-01,16
"132",2022-12-01,21
"133",2023-01-01,23
